Time,sFH_FMU.table_ts_price_elec.y[1],sFH_FMU.costs_elec
565200,0.49441612,175.64055
566100,0.49441612,176.67487
567000,0.49441612,177.54024
567900,0.49441612,178.21867
568800,0.5045105,178.86937
569700,0.5045105,179.46858
570600,0.5045105,179.90735
571500,0.5045105,180.35934
572400,0.56486833,180.82716
573300,0.56486833,181.35475
574200,0.56486833,181.8881
575100,0.56486833,182.40338
576000,0.6014046,183.05455
576900,0.6014046,183.62527
577800,0.6014046,184.21146
578700,0.6014046,184.80908
579600,0.72390693,185.40553
580500,0.72390693,186.1237
581400,0.72390693,186.86572
582300,0.72390693,187.61179
583200,0.75576824,188.48225
584100,0.75576824,189.94395
585000,0.75576824,191.39638
585900,0.75576824,192.81424
586800,0.7058621,194.24309
587700,0.7058621,195.6067
588600,0.7058621,197.06532
589500,0.7058621,198.56328
590400,0.66798586,200.13373
591300,0.66798586,201.95132
592200,0.66798586,203.72221
593100,0.66798586,204.71843
594000,0.6366605,205.64214
594900,0.6366605,206.531
595800,0.6366605,207.44243
596700,0.6366605,208.38138
597600,0.5536722,209.334
598500,0.5536722,209.8845
599400,0.5536722,210.39313
600300,0.5536722,210.88478
601200,0.4416514,211.37587
602100,0.4416514,211.77345
603000,0.4416514,211.93916
603900,0.4416514,211.96394
604800,0.4416514,211.98705
