Electricity.Timestep;Sum [kWh]
22155;0.097955474
22170;0.095698272
22185;0.408374714
22200;0.849960289
22215;0.67957735
22230;0.275451276
22245;0.081273774
22260;0.073177998
22275;0.060687157
22290;0.077520149
22305;0.067265314
22320;0.09553219
22335;0.388810028
22350;0.737460504
22365;1.306954391
22380;1.31409134
22395;0.732891032
22410;0.538800234
22425;0.540214668
22440;0.55741205
22455;0.314853087
22470;0.489020991
22485;0.540146164
22500;0.563233949
22515;0.440812228
22530;0.125357474
22545;0.611797113
22560;0.359227118
22575;0.151011009
22590;0.200755786
22605;0.13071938
22620;0.122592602
22635;0.115955593
22650;0.115381918
22665;0.114806734
22680;0.11499413
22695;0.119320111
22710;0.132979103
22725;0.151927351
22740;0.154241002
22755;0.149026287
22770;0.157744712
22785;0.137703536
22800;0.152106019
22815;0.171690171
22830;0.411679305
22845;0.389807823
22860;0.371804994
22875;0.231571633
22890;0.089166647
22905;0.066793885
22920;0.065088524
22935;0.043674759
22950;0.015392244
22965;0.015251866
22980;0.015118566
22995;0.015422411
23010;0.015034772
23025;0.015274719
23040;0.015287013
23055;0.015592708
23070;0.016141776
23085;0.015959283
23100;0.015756777
23115;0.02194081
23130;0.05628194
23145;0.055874704
23160;0.054713801
23175;0.041562235
23190;0.019588177
23205;0.015160282
23220;0.015546791
23235;0.015412428
