Time,QHeatTotal
2.3598e+07,0
2.36016e+07,0
2.36052e+07,0
2.36088e+07,0
2.36124e+07,0
2.3616e+07,0
2.36196e+07,0
2.36232e+07,0
2.36268e+07,0
2.36304e+07,0
2.3634e+07,0
2.36376e+07,0
2.36412e+07,0
2.36448e+07,0
2.36484e+07,0
2.3652e+07,0
2.36556e+07,0
2.36592e+07,0
2.36628e+07,0
2.36664e+07,0
2.367e+07,0
2.36736e+07,0
2.36772e+07,0
2.36808e+07,0
2.36844e+07,0
2.3688e+07,0
2.36916e+07,0
2.36952e+07,0
2.36988e+07,0
2.37024e+07,0
2.3706e+07,0
2.37096e+07,0
2.37132e+07,0
2.37168e+07,0
2.37204e+07,0
2.3724e+07,0
2.37276e+07,0
2.37312e+07,0
2.37348e+07,0
2.37384e+07,0
2.3742e+07,0
2.37456e+07,0
2.37492e+07,0
2.37528e+07,0
2.37564e+07,0
2.376e+07,0
2.37636e+07,0
2.37672e+07,0
2.37708e+07,0
2.37744e+07,0
2.3778e+07,0
2.37816e+07,0
2.37852e+07,0
2.37888e+07,0
2.37924e+07,0
2.3796e+07,0
2.37996e+07,0
2.38032e+07,0
2.38068e+07,0
2.38104e+07,0
2.3814e+07,0
2.38176e+07,0
2.38212e+07,0
2.38248e+07,0
2.38284e+07,0
2.3832e+07,0
2.38356e+07,0
2.38392e+07,0
2.38428e+07,0
2.38464e+07,0
2.385e+07,0
2.38536e+07,0
2.38572e+07,0
2.38608e+07,0
2.38644e+07,0
2.3868e+07,0
2.38716e+07,0
2.38752e+07,0
2.38788e+07,0
2.38824e+07,0
2.3886e+07,0
2.38896e+07,0
2.38932e+07,0
2.38968e+07,0
2.39004e+07,0
2.3904e+07,0
2.39076e+07,0
2.39112e+07,0
2.39148e+07,0
2.39184e+07,0
2.3922e+07,0
2.39256e+07,0
2.39292e+07,0
2.39328e+07,0
2.39364e+07,328.7371
2.394e+07,859.361
2.39436e+07,1048.3744
2.39472e+07,1128.8162
2.39508e+07,1185.8306
2.39544e+07,1258.6881
2.3958e+07,0
2.39616e+07,0
2.39652e+07,0
2.39688e+07,0
2.39724e+07,0
2.3976e+07,0
2.39796e+07,0
2.39832e+07,0
2.39868e+07,0
2.39904e+07,0
2.3994e+07,0
2.39976e+07,0
2.40012e+07,2320.0332
2.40048e+07,0
2.40084e+07,6826.1104
2.4012e+07,2296.4097
2.40156e+07,1048.7169
2.40192e+07,1309.6394
2.40228e+07,1467.9886
2.40264e+07,1582.0802
2.403e+07,1652.8861
2.40336e+07,1583.0774
2.40372e+07,1459.9149
2.40408e+07,1513.7808
2.40444e+07,1515.0713
2.4048e+07,5537.6157
2.40516e+07,0
2.40552e+07,0
2.40588e+07,0
2.40624e+07,0
2.4066e+07,0
2.40696e+07,0
2.40732e+07,0
2.40768e+07,0
2.40804e+07,0
2.4084e+07,0
2.40876e+07,0
2.40912e+07,0
2.40948e+07,0
2.40984e+07,0
2.4102e+07,0
2.41056e+07,0
2.41092e+07,0
2.41128e+07,0
2.41164e+07,0
2.412e+07,0
2.41236e+07,0
2.41272e+07,0
2.41308e+07,0
2.41344e+07,0
2.4138e+07,0
2.41416e+07,0
2.41452e+07,0
2.41488e+07,0
2.41524e+07,0
2.4156e+07,0
2.41596e+07,0
2.41632e+07,0
2.41668e+07,0
2.41704e+07,0
2.4174e+07,0
2.41776e+07,0
2.41812e+07,0
2.41848e+07,0
2.41884e+07,0
2.4192e+07,0
2.41956e+07,2211.5254
2.41992e+07,2275.4065
2.42028e+07,2427.1833
2.42064e+07,2510.0842
2.421e+07,2301.1165
2.42136e+07,2282.139
2.42172e+07,1600.6954
2.42208e+07,5337.9385
2.42244e+07,0
2.4228e+07,0
2.42316e+07,0
2.42352e+07,0
2.42388e+07,0
2.42424e+07,0
2.4246e+07,0
2.42496e+07,0
2.42532e+07,0
2.42568e+07,0
2.42604e+07,0
2.4264e+07,0
2.42676e+07,0
2.42712e+07,2982.2097
2.42748e+07,1964.4379
2.42784e+07,2314.9204
2.4282e+07,2612.3481
2.42856e+07,2778.4175
