Time,QCoolTotal,QHeatTotal,weaDat.weaBus.TDryBul,weaDat.weaBus.HGloHor
2613600,0,0,265.75,0
2617200,0,0,266.45,0
2620800,0,3458.9019,266.65,8.619565
2624400,0,7711.1797,266.85,51.76309
2628000,0,8124.34,267.15,84.730774
2631600,0,7950.698,266.75,73.4089
2635200,0,7715.705,267.25,61.146427
2638800,0,7629.052,267.25,56.1125
2642400,0,7501.9507,267.25,49.066963
2646000,0,7053.4453,267.55,30.16741
2649600,0,6668.5737,267.55,8.770089
2653200,0,6524.1367,267.45,0.21428572
2656800,0,6605.6553,267.35,0
2660400,0,7528.591,266.95,0
2664000,0,8328.745,267.15,0
2667600,0,8617.013,267.05,0
2671200,0,1316.5474,267.55,0
2674800,0,0,267.95,0
2678400,0,0,268.35,0
2682000,0,0,268.45,0
2685600,0,0,268.65,0
2689200,0,0,268.65,0
2692800,0,0,268.75,0
2696400,0,0,268.45,0
2700000,0,0,268.15,0
2703600,0,0,267.75,0
2707200,0,3822.5383,267.65,3.919355
2710800,0,8413.267,267.75,25.11636
2714400,0,9048.865,267.55,38.680954
2718000,0,8851.823,267.75,44.484722
2721600,0,8460.375,268.25,46.416534
2725200,0,8224.598,268.65,58.51111
2728800,0,7886.048,268.75,72.78081
2732400,0,7355.3696,268.95,41.704746
2736000,0,6985.7124,269.05,8.135417
2739600,0,6791.5977,269.15,0.25
2743200,0,6777.4316,269.25,0
2746800,0,7589.7363,269.15,0
2750400,0,8374.462,268.75,0
2754000,0,8722.352,268.15,0
2757600,0,1529.9015,267.95,0
2761200,0,0,268.55,0
2764800,0,0,269.15,0
2768400,0,0,269.45,0
2772000,0,0,269.65,0
2775600,0,0,270.05,0
2779200,0,0,270.55,0
2782800,0,0,270.95,0
2786400,0,0,271.35,0
2790000,0,0,271.75,0
2793600,0,3323.604,272.25,5.7012196
2797200,0,7648.346,272.75,33.3429
2800800,0,8152.0635,272.95,51.119675
2804400,0,7878.307,273.05,54.186207
2808000,0,7444.6226,273.25,53.726704
2811600,0,7117.0205,273.65,61.440186
2815200,0,6794.802,273.75,60.554054
2818800,0,6366.63,273.85,46.900208
2822400,0,5942.6064,273.85,22.990385
2826000,0,5735.71,273.85,1.0384616
2829600,0,5664.9287,273.75,0
2833200,0,6441.674,273.65,0
2836800,0,7188.2256,273.45,0
2840400,0,7465.6494,273.25,0
2844000,0,193.74666,272.75,0
2847600,0,0,272.65,0
2851200,0,0,272.55,0
2854800,0,0,272.55,0
2858400,0,0,272.95,0
2862000,0,0,272.85,0
2865600,0,0,273.05,0
2869200,0,0,273.25,0
2872800,0,0,273.65,0
2876400,0,0,273.75,0
2880000,0,3953.3098,273.65,3.2596154
2883600,0,7946.4927,273.75,14.515385
2887200,0,7887.522,274.15,41.265697
